hurst,theta,z_score,macd_z,rsi,dist_vwap,adx,vol_z,volatility,atr,hour,pnl,target
0.2250884331800214,43.83400829986874,-2.462893865392188,-1.1683688420140317,39.70588235294314,0.0010460355389967,0.0,-0.5526915254725925,0.1224873506758191,0.108628571428576,9,-273.7743068631886,0
0.2239468319630474,39.38751212943285,-2.0250846055494542,-1.1235922468353496,28.07017543859841,0.0012148189833712,0.0,-0.6196054957664486,0.1230627296647593,0.1022000000000023,9,-276.1403154101367,0
0.2168538285681452,40.33077931460658,-2.371541614699025,-1.1155343293714526,25.97824322130458,0.0009438028779477,0.0,-0.2518464369069569,0.1227111943569372,0.1084142857142873,9,-273.049227088822,0
0.1706625533493112,53.15188639514711,-4.80744268805551,-1.0288521751829345,28.066327425863804,-0.001080907435071,0.0,3.510122111795259,0.2025776259512839,0.1523285714285711,9,291.0530369342225,1
0.1392928866664825,44.05556750513889,-4.632349952274942,-1.6258688745282723,24.42357611849121,-0.0023141376753593,0.0,1.173351452235829,0.2124440527292662,0.1630428571428552,9,189.52829704042665,1
0.0638342009904371,80.4763176252062,-5.011928819416241,-2.9269110500772304,32.51145376619492,-0.0067661108600466,0.0,1.3139917034269377,0.6486202979662856,0.4391999999999975,9,73.81928711961189,1
0.1533928636989557,85.82153531114517,-2.310200570855502,-3.022819084272994,39.380061064648665,-0.003580741699712,0.0,0.8545797189368114,0.6732058067311883,0.4963428571428555,9,48.23129490287249,1
0.1501120424411443,113.32203153668914,-2.2765948693855007,-3.0057039984710507,39.7494305239178,-0.0032220458781935,0.0,1.0356981355826114,0.6720836649617075,0.5365571428571404,9,48.661154517863224,1
0.1560741351357423,99.71876554418068,-2.6781567146223555,-3.131905820615388,37.55221739313873,-0.0044032635281487,0.0,0.5493492840481301,0.6734794346598344,0.597135714285713,9,62.7712977493033,1
0.208849155903384,85.93696009744782,2.714379606320389,3.4973284777557936,85.31346749226002,0.0092396341817787,0.0,0.9141969261533499,0.7724446036513812,0.6439214285714294,9,6.9753890467651445,1
0.2807408815226421,58.260227616047466,2.313385676550677,3.746619371610696,83.74035989717217,0.0094261794723562,0.0,-0.22419334485857736,0.7721700523283195,0.6139214285714283,9,11.515237087762443,1
0.4562916504666135,39.61639556025138,2.0441543392963717,1.2507250573279067,65.15039227211165,0.0087303274348948,0.0,1.8101809329584768,0.5580553638016758,0.4572214285714316,10,28.609470554289373,1
0.3241039795999024,34.00301032936125,2.5009176717825303,0.380436665787544,56.0375514762337,0.0072478059711872,0.0,0.668595528727645,0.5197462665652283,0.3623142857142848,10,24.084438502703165,1
0.3009033820719127,31.34666049600015,2.2029620798553076,0.4346471000435415,58.51017599768228,0.007248031785945,0.0,-0.9574030495349393,0.514017825219818,0.353671428571427,10,24.71309018236525,1
0.2538016995835221,34.5929693959525,2.0241174219558,0.2486116697527819,54.059405940594296,0.0065589998489986,0.0,-0.4515231582751666,0.481310971589979,0.3445071428571416,10,20.841092805355288,1
0.1646124777484727,50.77367897818391,2.6734184951826356,-0.406775407527127,60.77662200282085,0.007466838500586,0.0,2.375378578101955,0.4113406651429511,0.2958857142857108,10,44.61769843574217,1
0.1086574772881126,64.3352506012385,2.3920283347178994,-0.3126825991595035,63.65001365001351,0.007489743489555,0.0,1.4784527973284007,0.4089933019783413,0.2851785714285699,10,45.67119742906982,1
-0.0064989464464803,69.17261266177682,2.762524386704237,-0.2051206421450827,59.95642903495014,0.0080284950705509,0.0,0.6821372379118648,0.3716561631644043,0.2755357142857134,10,51.63917325317726,1
-0.0575962354675629,124.5742615214733,-2.2771397304776504,-2.324483340847076,37.48308525033857,0.0006135118498539,0.0,0.8303045143377477,0.3899964313260109,0.3667000000000026,10,112.95128538221206,1
0.2061321876941794,46.718829164918645,-2.3378437886298298,-1.393009396941,34.30466714048828,-0.0016501048754947,0.0,-1.015751090174322,0.3649927531929909,0.2426785714285679,11,68.74507709074749,1
0.2085749370601299,42.1754379118844,-4.260008877946605,-1.5084415256792647,26.111394992336145,-0.0038691501972921,0.0,3.121881542999198,0.4042468878359418,0.2570142857142851,11,49.05265566267332,1
0.2007338074122304,25.97773628046768,-2.042532691152547,-1.4879094246634634,29.32551319648077,-0.0023175437031025,0.0,0.9487826433102895,0.390393965773299,0.270228571428571,11,75.27002093739554,1
0.1923387855625155,37.42311124783164,-2.153420051539649,-1.2227831437489731,38.04809052333787,-0.0013983568857429,0.0,-0.46604955026128453,0.3811061686087064,0.2768142857142887,11,65.06974584258819,1
0.1534129229139778,40.059202869953374,-2.071047439540986,-0.765181739627665,42.625698324022295,-0.0017243683221629,0.0,0.2507668789718688,0.3859761367891161,0.2671285714285777,11,68.30530246103024,1
0.1354208452124941,39.91177823472763,-2.0720714263642326,-0.8063199805906509,39.90578734858723,-0.0023973697607419,0.0,-0.08344528360941833,0.3874496001511679,0.2643857142857208,11,76.82167775172536,1
0.119496885331089,38.47553864202304,-2.4274265109754976,-0.9268134414063464,37.988468930173084,-0.00340436185515,0.0,-0.20045909086736957,0.3794652618998869,0.26305714285715,11,46.361237448194004,1
0.1018037524527425,27.261484251144992,-2.2153867296287424,-1.0308109955021434,38.42806887613425,-0.0036625728650361,0.0,0.7063915337185275,0.3736238588756882,0.2616285714285778,11,49.19068127705373,1
0.4508190786326588,28.17814312876926,2.062741009597153,1.6288202346873366,67.6908259089798,0.0058957108474708,0.0,-0.4758480389931422,0.2554979518638913,0.264557142857145,11,7.285698930115814,1
